anio,mes,municipio_id,municipio_nombre,monto
2010,4,06266,Exaltación de la Cruz,49731.63
2010,4,06270,Ezeiza,112820.99
2010,4,06274,Florencio Varela,269003.28
2010,4,06277,Florentino Ameghino,19625.44
2010,4,06280,General Alvarado,40997.74
2010,4,06287,General Alvear,24249.24
2010,4,06294,General Arenales,21166.71
2010,4,06301,General Belgrano,30517.1
2010,4,06308,General Guido,8939.29
2010,4,06315,General Juan Madariaga,27948.29
2010,4,06322,General la Madrid,26407.03
2010,4,06329,General las Heras,42128
2010,4,06336,General Lavalle,19317.2
2010,4,06343,General Paz,23118.98
2010,4,06351,General Pinto,22913.49
2010,4,06357,General Pueyrredón,275065.61
2010,4,06364,General Rodríguez,75830.49
2010,4,06371,General San Martín,210229.44
2010,4,06385,General Viamonte,29386.82
2010,4,06392,General Villegas,37093.19
2010,4,06399,Guaminí,17673.13
2010,4,06406,Hipólito Yrigoyen,17878.66
2010,4,06408,Hurlingham,101929.35
2010,4,06410,Ituzaingó,104292.62
2010,4,06412,José C. Paz,222662.37
2010,4,06413,Junín,71206.66
2010,4,06420,La Costa,70076.43
2010,4,06427,La Matanza,662541.43
2010,4,06441,La Plata,260063.9
2010,4,06434,Lanús,208071.62
2010,4,06448,Laprida,22194.23
2010,4,06455,Las Flores,30928.1
2010,4,06462,Leandro N. Alem,18906.17
2010,4,06469,Lincoln,39148.22
2010,4,06476,Lobería,30619.84
2010,4,06483,Lobos,41716.99
2010,4,06490,Lomas de Zamora,326235.84
2010,4,06497,Luján,95558.79
2010,4,06505,Magdalena,26612.55
2010,4,06511,Maipú,17673.13
2010,4,06515,Malvinas Argentinas,229443.95
2010,4,06518,Mar Chiquita,33291.4
2010,4,06525,Marcos Paz,76549.74
2010,4,06532,Mercedes,59904.01
2010,4,06539,Merlo,318632.2
2010,4,06547,Monte,33805.13
2010,4,06553,Monte Hermoso,26818.03
2010,4,06560,Moreno,306918.58
2010,4,06568,Morón,176115.95
2010,4,06574,Navarro,23735.48
2010,4,06581,Necochea,65041.59
2010,4,06588,9 de Julio,38737.22
2010,4,06595,Olavarría,75316.72
2010,4,06602,Patagones,39250.95
2010,4,06609,Pehuajó,41100.47
2010,4,06616,Pellegrini,17262.15
2010,4,06623,Pergamino,73364.45
2010,4,06630,Pila,17159.4
2010,4,06638,Pilar,188240.61
2010,4,06644,Pinamar,38531.68
2010,4,06648,Presidente Perón,84461.61
2010,4,06651,Puán,18700.68
2010,4,06655,Punta Indio,24968.51
2010,4,06658,Quilmes,309898.33
2010,4,06665,Ramallo,42025.24
2010,4,06672,Rauch,26407.03
2010,4,06679,Rivadavia,27845.57
2010,4,06686,Rojas,30208.82
2010,4,06693,Roque Pérez,29386.82
2010,4,06700,Saavedra,22399.71
2010,4,06707,Saladillo,36682.17
2010,4,06721,Salliqueló,15720.89
2010,4,06714,Salto,34524.39
2010,4,06728,San Andrés de Giles,38531.68
2010,4,06735,San Antonio de Areco,29695.07
2010,4,06742,San Cayetano,21680.48
2010,4,06749,San Fernando,141283.18
2010,4,06756,San Isidro,105936.7
2010,4,06760,San Miguel,192967.17
2010,4,06763,San Nicolás,106347.68
2010,4,06770,San Pedro,59595.76
2010,4,06778,San Vicente,71206.66
2010,4,06784,Suipacha,18803.42
2010,4,06791,Tandil,79529.52
2010,4,06798,Tapalqué,16851.13
2010,4,06805,Tigre,211256.91
2010,4,06812,Tordillo,12638.33
2010,4,06819,Tornquist,19111.67
2010,4,06826,Trenque Lauquen,35449.17
2010,4,06833,Tres Arroyos,54149.93
2010,4,06840,Tres de Febrero,135529.1
2010,4,06847,Tres Lomas,17981.4
2010,4,06854,25 de Mayo,36373.93
2010,4,06861,Vicente López,79426.81
2010,4,06868,Villa Gesell,37195.93
2010,4,06875,Villarino,41305.99
2010,4,06882,Zárate,87852.42
2010,5,06007,Adolfo Alsina,19024.44
2010,5,06014,Adolfo Gonzales Chaves,23101.14
2010,5,06021,Alberti,17568.47
2010,5,06028,Almirante Brown,279253
2010,5,06077,Arrecifes,36690.09
2010,5,06035,Avellaneda,172967.93
2010,5,06042,Ayacucho,22712.88
2010,5,06049,Azul,49599.6
2010,5,06056,Bahía Blanca,167047.01
2010,5,06063,Balcarce,45037.58
2010,5,06070,Baradero,36495.96
2010,5,06084,Benito Juárez,22033.42
2010,5,06091,Berazategui,173744.44
2010,5,06098,Berisso,76583.41
2010,5,06105,Bolívar,30672.12
2010,5,06112,Bragado,37078.33
2010,5,06119,Brandsen,30380.93
2010,5,06126,Campana,78136.41
2010,5,06134,Cañuelas,43193.38
2010,5,06140,Capitán Sarmiento,22907.02
2010,5,06147,Carlos Casares,21742.23
2010,5,06154,Carlos Tejedor,24557.09
2010,5,06161,Carmen de Areco,28924.97
2010,5,06168,Castelli,22421.67
2010,5,06210,Chacabuco,38146.04
2010,5,06218,Chascomús,29313.22
2010,5,06224,Chivilcoy,39019.62
2010,5,06182,Coronel de Marina Leonardo Rosales,40087.33
2010,5,06175,Colón,29313.22
2010,5,06189,Coronel Dorrego,20868.67
2010,5,06196,Coronel Pringles,29410.29
2010,5,06203,Coronel Suárez,36301.84
2010,5,06231,Daireaux,29798.55
2010,5,06238,Dolores,36107.71
2010,5,06245,Ensenada,46687.68
2010,5,06252,Escobar,118806.23
2010,5,06260,Esteban Echeverría,187042.21
2010,5,06266,Exaltación de la Cruz,46978.88
2010,5,06270,Ezeiza,106576.15
2010,5,06274,Florencio Varela,254113.39
2010,5,06277,Florentino Ameghino,18539.11
2010,5,06280,General Alvarado,38728.42
2010,5,06287,General Alvear,22907.02
2010,5,06294,General Arenales,19995.1
2010,5,06301,General Belgrano,28827.9
2010,5,06308,General Guido,8444.48
2010,5,06315,General Juan Madariaga,26401.31
2010,5,06322,General la Madrid,24945.36
2010,5,06329,General las Heras,39796.14
2010,5,06336,General Lavalle,18247.92
2010,5,06343,General Paz,21839.31
2010,5,06351,General Pinto,21645.17
2010,5,06357,General Pueyrredón,259840.17
2010,5,06364,General Rodríguez,71633.14
2010,5,06371,General San Martín,198592.8
2010,5,06385,General Viamonte,27760.21
2010,5,06392,General Villegas,35039.99
2010,5,06399,Guaminí,16694.92
2010,5,06406,Hipólito Yrigoyen,16889.05
2010,5,06408,Hurlingham,96287.39
2010,5,06410,Ituzaingó,98519.87
2010,5,06412,José C. Paz,210337.56
2010,5,06413,Junín,67265.25
2010,5,06420,La Costa,66197.53
2010,5,06427,La Matanza,625868.47
2010,5,06441,La Plata,245668.86
2010,5,06434,Lanús,196554.48
2010,5,06448,Laprida,20965.73
2010,5,06455,Las Flores,29216.18
2010,5,06462,Leandro N. Alem,17859.67
2010,5,06469,Lincoln,36981.28
2010,5,06476,Lobería,28924.97
2010,5,06483,Lobos,39407.87
2010,5,06490,Lomas de Zamora,308178.05
2010,5,06497,Luján,90269.43
2010,5,06505,Magdalena,25139.48
2010,5,06511,Maipú,16694.92
2010,5,06515,Malvinas Argentinas,216743.77
2010,5,06518,Mar Chiquita,31448.65
2010,5,06525,Marcos Paz,72312.59
2010,5,06532,Mercedes,56588.21
2010,5,06539,Merlo,300995.33
2010,5,06547,Monte,31933.96
2010,5,06553,Monte Hermoso,25333.63
2010,5,06560,Moreno,289930.03
2010,5,06568,Morón,166367.57
2010,5,06574,Navarro,22421.67
2010,5,06581,Necochea,61441.41
2010,5,06588,9 de Julio,36593.03
2010,5,06595,Olavarría,71147.81
2010,5,06602,Patagones,37078.33
2010,5,06609,Pehuajó,38825.51
2010,5,06616,Pellegrini,16306.66
2010,5,06623,Pergamino,69303.59
2010,5,06630,Pila,16209.6
2010,5,06638,Pilar,177821.11
